transaction_date,transaction_barcode,item_number,description,description2,combined_description,item_unit_price
2022-06-26,21133401000612206261140,1306598,FREE RNG XL,GRADE A T20H18 P360 SL23,FREE RNG XL GRADE A T20H18 P360 SL23,7.49
2022-06-26,21133401000612206261140,1060788,PRETZEL CRSP,P176 T44H4 SL210,PRETZEL CRSP P176 T44H4 SL210,7.59
2022-06-26,21133401000612206261140,782796,***KSWTR40PK,P48=SE   P56=PR,***KSWTR40PK P48=SE   P56=PR,4.29
2022-06-26,21133401000612206261140,1190606,VICKY JALAPE,KETTL CHIP P138 T46H3,VICKY JALAPE KETTL CHIP P138 T46H3,7.99
2022-06-26,21133401000612206261140,60357,MIXED PEPPER,6-PACK,MIXED PEPPER 6-PACK,7.49
2022-06-26,21133401000612206261140,1361597,ORGAVORCHKIT,,,8.99
2022-06-26,21133401000612206261140,1364689,KS ORG WH MK,3/64 SL30 T33H4 P132,KS ORG WH MK 3/64 SL30 T33H4 P132,10.19
2022-06-26,21133401000612206261140,17767,KS COFFEE,1.36K GROUND P252,KS COFFEE 1.36K GROUND P252,14.99
2022-06-26,21133401000612206261140,473734,HOUSEHLD GLV,"13-3/4"" LATEX/NEOPRN T6H5","HOUSEHLD GLV 13-3/4"" LATEX/NEOPRN T6H5",9.99
2022-06-26,21133401000612206261140,568915,ORG CUCUMBER,,,5.99
2022-06-26,21133401000612206261140,425354,KOSHER MNSTR,ANDERSON T14H7  SL90,KOSHER MNSTR ANDERSON T14H7  SL90,10.99
2022-06-26,21133401000612206261140,21046,TOMATO MEDLE,,,6.69
2022-06-26,21133401000612206261140,412121,MULTICHEERIO,SL DOM 372 DAYS      P140,MULTICHEERIO SL DOM 372 DAYS      P140,6.99
2022-06-26,21133401000612206261140,5623,BROCCOLI,1.36 KG / 3 LB,BROCCOLI 1.36 KG / 3 LB,4.99
2022-06-26,21133401000612206261140,18600,MANDARINS,2.27 KG / 5 LBS,MANDARINS 2.27 KG / 5 LBS,8.99
2022-06-26,21133401000612206261140,96716,ORG SPINACH,453 G / 16 OZ,ORG SPINACH 453 G / 16 OZ,4.49
2025-05-25,21133400701712505251307,1267000,KS SALMON,SL30 CHILEAN SLMN 10X5,KS SALMON SL30 CHILEAN SLMN 10X5,22.99
2025-05-25,21133400701712505251307,720650,MINI CUKES,680 G / 1.5 LB,MINI CUKES 680 G / 1.5 LB,5.99
2025-05-25,21133400701712505251307,355155,/720650,,,0
2025-05-25,21133400701712505251307,1462040,KS ARG SHRMP,CA 608G US 908G 6X6 P576,KS ARG SHRMP CA 608G US 908G 6X6 P576,21.49
2025-05-25,21133400701712505251307,17767,KS COFFEE,1.36K GROUND P252,KS COFFEE 1.36K GROUND P252,19.99
2025-05-25,21133400701712505251307,21046,TOMATO MEDLE,,,6.59
2025-05-25,21133400701712505251307,1199652,BUTER CROISS,,,5.99
2025-05-25,21133400701712505251307,2619,ORG BANANAS,3 LB / 1.36 KG,ORG BANANAS 3 LB / 1.36 KG,2.19
2025-05-25,21133400701712505251307,1336632,BEAN SALAD,T8H6  C12  SL28,BEAN SALAD T8H6  C12  SL28,9.89
2025-05-25,21133400701712505251307,354580,/1336632,,,0
2025-05-25,21133400701712505251307,6130,4LB WILDTWST,,,8.49
2025-05-25,21133400701712505251307,7169,PEACHES,3LB,PEACHES 3LB,6.99
2025-05-25,21133400701712505251307,1150189,ORG SKINYPOP,T34H3 P102 SL110,ORG SKINYPOP T34H3 P102 SL110,6.99
2025-05-25,21133400701712505251307,44796,BRANZINO,FARM RAISED,BRANZINO FARM RAISED,8.99
2025-05-25,21133400701712505251307,1212860,KS S&C GRNLA,CHOC GRANOLA P252 SL270,KS S&C GRNLA CHOC GRANOLA P252 SL270,11.59
2025-05-25,21133400701712505251307,1068080,PASTURE EGGS,2DZ GRADE A P360/300 SL22,PASTURE EGGS 2DZ GRADE A P360/300 SL22,8.19
2025-05-25,21133400701712505251307,362996,TERRA DLYSSA,ORGANIC OLIVE OIL    P336,TERRA DLYSSA ORGANIC OLIVE OIL    P336,14.99
2025-05-25,21133400701712505251307,2585,HYDRO STRAW,2LB / 907 G,HYDRO STRAW 2LB / 907 G,6.49
2022-11-26,21133401003142211261759,782796,***KSWTR40PK,P48=SE   P56=PR,***KSWTR40PK P48=SE   P56=PR,4.29
2022-11-26,21133401003142211261759,1364689,KS ORG WH MK,3/64 SL30 T33H4 P132,KS ORG WH MK 3/64 SL30 T33H4 P132,11.49
2022-11-26,21133401003142211261759,585434,ORGNC HUMMUS,CS12 T8H6  SL50,ORGNC HUMMUS CS12 T8H6  SL50,6.79
2022-11-26,21133401003142211261759,45694,BAGUETTE,2 PACK,BAGUETTE 2 PACK,5.99
2022-11-26,21133401003142211261759,1073013,KS 100% OJ,T10H5C4 P200 SL45 DOM70,KS 100% OJ T10H5C4 P200 SL45 DOM70,9.99
2022-11-26,21133401003142211261759,897342,LACROIX VTY,LEMON GRAPEFRUIT P100,LACROIX VTY LEMON GRAPEFRUIT P100,8.99
2022-11-26,21133401003142211261759,289387,/897342,,,0
2022-11-26,21133401003142211261759,384962,KS U/S QTRS,TE9X5 SL90,KS U/S QTRS TE9X5 SL90,14.79
2022-11-26,21133401003142211261759,21046,TOMATO MEDLE,,,6.69
2022-11-26,21133401003142211261759,1391546,BAGEL CHIPS,SCHWARTZ 425G P324 SL90,BAGEL CHIPS SCHWARTZ 425G P324 SL90,7.99
2022-11-26,21133401003142211261759,440586,SPANAKOPITA,US 3LB CN 1.36KG,SPANAKOPITA US 3LB CN 1.36KG,16.59
2022-11-26,21133401003142211261759,1306598,FREE RNG XL,GRADE A T20H18 P360 SL23,FREE RNG XL GRADE A T20H18 P360 SL23,7.59
2022-11-26,21133401003142211261759,27003,STRAWBERRIES,908 G / 2 LB,STRAWBERRIES 908 G / 2 LB,9.59
2022-11-26,21133401003142211261759,19808,SMOKD SALMON,30/16 OZ SL=28 T7X7,SMOKD SALMON 30/16 OZ SL=28 T7X7,16.79
2022-11-26,21133401003142211261759,936226,GRAPE LEAVES,CEDARLANE  12T4H     SL30,GRAPE LEAVES CEDARLANE  12T4H     SL30,10.79
2024-12-31,21133400700932412311221,1199652,BUTER CROISS,,,5.99
2024-12-31,21133400700932412311221,5623,BROCCOLI,1.36 KG / 3 LB,BROCCOLI 1.36 KG / 3 LB,6.99
2024-12-31,21133400700932412311221,1267000,KS SALMON,SL30 CHILEAN SLMN 10X5,KS SALMON SL30 CHILEAN SLMN 10X5,23.99
2024-12-31,21133400700932412311221,703381,CHEDDAR SLCS,T10H5  SL120,CHEDDAR SLCS T10H5  SL120,7.99
2024-12-31,21133400700932412311221,947880,HF NAT TRKEY,T6H4P216  SL30,HF NAT TRKEY T6H4P216  SL30,12.89
2024-12-31,21133400700932412311221,1823420,RUSTIC ITALN,,,5.99
2024-12-31,21133400700932412311221,982859,CHKN POTSTIK,LING LING T6H4 P216 D,CHKN POTSTIK LING LING T6H4 P216 D,12.79
2024-12-31,21133400700932412311221,343405,/ 982859,,,0
2024-12-31,21133400700932412311221,545345,KS PISTACHIO,C13T6H4 P312 SL300,KS PISTACHIO C13T6H4 P312 SL300,13.99
2024-12-31,21133400700932412311221,1775302,KS PARM SSG,9/48Z T8H8 SL40 PEPP/PARM,KS PARM SSG 9/48Z T8H8 SL40 PEPP/PARM,12.59
2024-12-31,21133400700932412311221,21046,TOMATO MEDLE,,,6.59
2024-12-31,21133400700932412311221,1364689,KS ORG WH MK,3/64 SL30 T33H4 P132,KS ORG WH MK 3/64 SL30 T33H4 P132,10.47
2024-12-31,21133400700932412311221,8370,ORG MEDITERR,2PK,ORG MEDITERR 2PK,8.99
2024-12-31,21133400700932412311221,1773119,**CHARMIN**,30/213 SHEET 835SQFT P30,**CHARMIN** 30/213 SHEET 835SQFT P30,29.99
2024-12-31,21133400700932412311221,343332,/1773119,,,0
2024-12-31,21133400700932412311221,1391546,BAGEL CHIPS,SCHWARTZ 425G P324 SL90,BAGEL CHIPS SCHWARTZ 425G P324 SL90,7.99
2024-12-31,21133400700932412311221,23011,ORGANIC WING,SADDLEPACK,ORGANIC WING SADDLEPACK,3.99
2024-12-31,21133400700932412311221,720650,MINI CUKES,680 G / 1.5 LB,MINI CUKES 680 G / 1.5 LB,6.99
2024-12-31,21133400700932412311221,6659,4LB HONYCRSP,,,9.99
2024-12-31,21133400700932412311221,5276,RED GRAPES,1.36 KG / 3 LB,RED GRAPES 1.36 KG / 3 LB,6.99
2024-12-31,21133400700932412311221,7367,LOLLIPEPPERS,680 G / 1.5 LB,LOLLIPEPPERS 680 G / 1.5 LB,5.99
2024-12-31,21133400700932412311221,1068080,PASTURE EGGS,2DZ GRADE A P360/300 SL22,PASTURE EGGS 2DZ GRADE A P360/300 SL22,8.49
2023-09-05,21133400803182309051510,703381,CHEDDAR SLCS,T10H5  SL120,CHEDDAR SLCS T10H5  SL120,7.99
2023-09-05,21133400803182309051510,60357,MIXED PEPPER,6-PACK,MIXED PEPPER 6-PACK,6.99
2023-09-05,21133400803182309051510,4102,"8"" TORTILLAS",SL10  70OZ,"8"" TORTILLAS SL10  70OZ",5.99
2023-09-05,21133400803182309051510,947880,HF NAT TRKEY,T6H4P216  SL30,HF NAT TRKEY T6H4P216  SL30,11.99
2023-09-05,21133400803182309051510,21046,TOMATO MEDLE,,,6.59
2023-09-05,21133400803182309051510,5276,RED GRAPES,1.36 KG / 3 LB,RED GRAPES 1.36 KG / 3 LB,5.99
2023-09-05,21133400803182309051510,1266604,647 ITALIAN,LOW CARB BREAD,647 ITALIAN LOW CARB BREAD,6.69
2023-09-05,21133400803182309051510,1364689,KS ORG WH MK,3/64 SL30 T33H4 P132,KS ORG WH MK 3/64 SL30 T33H4 P132,12.49
2023-09-05,21133400803182309051510,595006,TZATZIKI DIP,12/32 OZ   7T6H   SL50,TZATZIKI DIP 12/32 OZ   7T6H   SL50,7.89
2023-09-05,21133400803182309051510,2619,ORG BANANAS,3 LB / 1.36 KG,ORG BANANAS 3 LB / 1.36 KG,1.99
2023-09-05,21133400803182309051510,428409,GLD STR REN,SYSTEM USE ONLY,GLD STR REN SYSTEM USE ONLY,99.99
2023-09-05,21133400803182309051510,180973,SARDINESNOIL,SKINLESS BESS SL1095 P432,SARDINESNOIL SKINLESS BESS SL1095 P432,10.99
2023-09-05,21133400803182309051510,17368,STEELHEAD,FARM RAISED,STEELHEAD FARM RAISED,10.99
2023-09-05,21133400803182309051510,3732,CRMYDILLPCKL,2 PACK,CRMYDILLPCKL 2 PACK,7.99
2023-09-05,21133400803182309051510,16790,SHRIMP,WHITE SHRIMP 9/14 CT,SHRIMP WHITE SHRIMP 9/14 CT,21.99
2023-09-05,21133400803182309051510,983491,CRUNCHY BUTR,CRUNCHY TX480  P600 SL365,CRUNCHY BUTR CRUNCHY TX480  P600 SL365,14.99
2023-09-05,21133400803182309051510,647465,AVOCADOS,6 COUNT,AVOCADOS 6 COUNT,6.29
2023-09-05,21133400803182309051510,1634440,MIX BOUQUET,,,16.99
2023-09-05,21133400803182309051510,18600,MANDARINS,2.27 KG / 5 LBS,MANDARINS 2.27 KG / 5 LBS,7.69
2023-09-05,21133400803182309051510,1461056,BABY CUKE,,,5.99
2023-09-05,21133400803182309051510,782796,***KSWTR40PK,P48=SE   P56=PR,***KSWTR40PK P48=SE   P56=PR,3.99
2023-09-05,21133400803182309051510,45694,BAGUETTE,2 PACK,BAGUETTE 2 PACK,5.99
2023-07-03,21133400802672307031432,306221,TOSTISCOOPS,P114 SL49,TOSTISCOOPS P114 SL49,5.99
2023-07-03,21133400802672307031432,305794,/ 306221,,,0
2023-07-03,21133400802672307031432,1267000,KS SALMON,SL30 CHILEAN SLMN 10X5,KS SALMON SL30 CHILEAN SLMN 10X5,23.99
2023-07-03,21133400802672307031432,1142830,ORG MEDITERR,,,8.49
2023-07-03,21133400802672307031432,60357,MIXED PEPPER,6-PACK,MIXED PEPPER 6-PACK,7.49
2023-07-03,21133400802672307031432,1169942,GINGER BEER,12/9.3OZ          P156,GINGER BEER 12/9.3OZ          P156,15.99
2023-07-03,21133400802672307031432,305546,/1169942,,,0
2023-07-03,21133400802672307031432,19927,CAESAR SALAD,CROUTONS LEMONS,CAESAR SALAD CROUTONS LEMONS,4.49
2023-07-03,21133400802672307031432,813734,POTATO ROLL,16 CT 30 OZ,POTATO ROLL 16 CT 30 OZ,6.89
2023-07-03,21133400802672307031432,782796,***KSWTR40PK,P48=SE   P56=PR,***KSWTR40PK P48=SE   P56=PR,3.99
2023-07-03,21133400802672307031432,669511,CHX GRILLERS,PORK FREE  T6H6 SL16,CHX GRILLERS PORK FREE  T6H6 SL16,10.99
2023-07-03,21133400802672307031432,427381,KS ORG EGGS,GRADE AA  P360/300  SL26,KS ORG EGGS GRADE AA  P360/300  SL26,7.89
2023-07-03,21133400802672307031432,6652,VIDALIA ONIO,2.27 KG / 5 LBS,VIDALIA ONIO 2.27 KG / 5 LBS,5.49
2023-07-03,21133400802672307031432,2619,ORG BANANAS,3 LB / 1.36 KG,ORG BANANAS 3 LB / 1.36 KG,2.39
2023-07-03,21133400802672307031432,1636598,**CHARMIN**,30/205 SHEET,**CHARMIN** 30/205 SHEET,26.49
2023-07-03,21133400802672307031432,1342708,LA COLM VRTY,P168,LA COLM VRTY P168,18.49
2023-07-03,21133400802672307031432,1364689,KS ORG WH MK,3/64 SL30 T33H4 P132,KS ORG WH MK 3/64 SL30 T33H4 P132,12.49
2023-07-03,21133400802672307031432,1231917,ROJO CORN,12/32 OZ   T8H7   SL45,ROJO CORN 12/32 OZ   T8H7   SL45,8.89
2023-07-03,21133400802672307031432,305532,/1231917,,,0
2023-07-03,21133400802672307031432,512599,**KS TOWEL**,P24 FQ/P20,**KS TOWEL** P24 FQ/P20,19.99
2023-07-03,21133400802672307031432,96493,B/S ATL SALM,FILLET FARM RAISED,B/S ATL SALM FILLET FARM RAISED,10.99
2023-07-03,21133400802672307031432,983491,CRUNCHY BUTR,CRUNCHY TX480  P600 SL365,CRUNCHY BUTR CRUNCHY TX480  P600 SL365,14.99
2023-07-03,21133400802672307031432,16594,SALMON BURGR,12/3LBS TRIDENT 6T8H P576,SALMON BURGR 12/3LBS TRIDENT 6T8H P576,18.99
2023-07-03,21133400802672307031432,857880,POTATO ROLLS,ROLL 2/8PKS 30OZ TOTAL,POTATO ROLLS ROLL 2/8PKS 30OZ TOTAL,6.89
2023-07-03,21133400802672307031432,519964,CHINET CUP,10 OZ / 150 CT  T34H3P102,CHINET CUP 10 OZ / 150 CT  T34H3P102,10.99
2023-07-03,21133400802672307031432,568915,ORG CUCUMBER,,,5.99
2023-07-03,21133400802672307031432,782294,POWER GREENS,454 G / 1.5 LBS,POWER GREENS 454 G / 1.5 LBS,6.99
2023-07-03,21133400802672307031432,21046,TOMATO MEDLE,,,6.69
2024-11-30,21133400903722411301556,5623,BROCCOLI,1.36 KG / 3 LB,BROCCOLI 1.36 KG / 3 LB,6.99
2024-11-30,21133400903722411301556,57554,BLUEBERRIES,510 G / 18 OZ,BLUEBERRIES 510 G / 18 OZ,6.49
2024-11-30,21133400903722411301556,516822,KS ORG STOCK,KS ORGANIC   SL292   P150,KS ORG STOCK KS ORGANIC   SL292   P150,8.99
2024-11-30,21133400903722411301556,8258,ASIAN CASHEW,2PK,ASIAN CASHEW 2PK,6.99
2024-11-30,21133400903722411301556,720650,MINI CUKES,680 G / 1.5 LB,MINI CUKES 680 G / 1.5 LB,6.99
2024-11-30,21133400903722411301556,1068080,PASTURE EGGS,2DZ GRADE A P360/300 SL22,PASTURE EGGS 2DZ GRADE A P360/300 SL22,8.49
2024-11-30,21133400903722411301556,1364689,KS ORG WH MK,3/64 SL30 T33H4 P132,KS ORG WH MK 3/64 SL30 T33H4 P132,10.47
2024-11-30,21133400903722411301556,993449,ORGANIC PSTA,ORGANIC PASTA SL365  P144,ORGANIC PSTA ORGANIC PASTA SL365  P144,9.59
2024-11-30,21133400903722411301556,1199652,BUTER CROISS,,,5.99
2024-11-30,21133400903722411301556,18600,MANDARINS,2.27 KG / 5 LBS,MANDARINS 2.27 KG / 5 LBS,6.49
2024-11-30,21133400903722411301556,703381,CHEDDAR SLCS,T10H5  SL120,CHEDDAR SLCS T10H5  SL120,7.99
2024-09-13,21133400700242409131059,1775302,KS PARM SSG,9/48Z T8H8 SL40 PEPP/PARM,KS PARM SSG 9/48Z T8H8 SL40 PEPP/PARM,11.99
2024-09-13,21133400700242409131059,60357,MIXED PEPPER,6-PACK,MIXED PEPPER 6-PACK,6.59
2024-09-13,21133400700242409131059,720650,MINI CUKES,680 G / 1.5 LB,MINI CUKES 680 G / 1.5 LB,6.99
2024-09-13,21133400700242409131059,1258564,BEEFSTICKS,P360 T6H4 28/.5OX SL300,BEEFSTICKS P360 T6H4 28/.5OX SL300,16.79
2024-09-13,21133400700242409131059,336535,/1258564,,,0
2024-09-13,21133400700242409131059,18600,MANDARINS,2.27 KG / 5 LBS,MANDARINS 2.27 KG / 5 LBS,6.49
2024-09-13,21133400700242409131059,1231917,ROJO CORN,12/32 OZ   T8H7   SL45,ROJO CORN 12/32 OZ   T8H7   SL45,8.89
2024-09-13,21133400700242409131059,336925,/1231917,,,0
2024-09-13,21133400700242409131059,1068083,ORG FR EGGS,GRADE A T20H18 P360 SL23,ORG FR EGGS GRADE A T20H18 P360 SL23,7.99
2024-09-13,21133400700242409131059,703381,CHEDDAR SLCS,T10H5  SL120,CHEDDAR SLCS T10H5  SL120,7.99
2024-09-13,21133400700242409131059,1364689,KS ORG WH MK,3/64 SL30 T33H4 P132,KS ORG WH MK 3/64 SL30 T33H4 P132,10.47
2024-09-13,21133400700242409131059,833684,KS TORT CHIP,P96 T32H3   SL120,KS TORT CHIP P96 T32H3   SL120,6.49
2024-09-13,21133400700242409131059,1823420,RUSTIC ITALN,,,5.99
2024-09-13,21133400700242409131059,1825891,CANYON POP,16 OZ P126 SL182,CANYON POP 16 OZ P126 SL182,6.69
2024-09-13,21133400700242409131059,1259349,KS WILD SHMP,16/2LB          T6H6 P576,KS WILD SHMP 16/2LB          T6H6 P576,20.99
2024-09-13,21133400700242409131059,1199652,BUTER CROISS,,,5.99
2024-09-13,21133400700242409131059,692731,KS ORG EVOO,SL365          P240/P320,KS ORG EVOO SL365          P240/P320,24.99
2024-09-13,21133400700242409131059,1837572,YUZU BARK,T72H5 SL270 P360,YUZU BARK T72H5 SL270 P360,7.97
2024-09-13,21133400700242409131059,21046,TOMATO MEDLE,,,6.59
2024-09-13,21133400700242409131059,5276,RED GRAPES,1.36 KG / 3 LB,RED GRAPES 1.36 KG / 3 LB,6.29
2024-09-13,21133400700242409131059,947880,HF NAT TRKEY,T6H4P216  SL30,HF NAT TRKEY T6H4P216  SL30,11.99
2024-09-13,21133400700242409131059,8370,ORG MEDITERR,2PK,ORG MEDITERR 2PK,8.99
2024-09-13,21133400700242409131059,376052,KS CHOCALMND,T6H5  P360 SL292,KS CHOCALMND T6H5  P360 SL292,14.99
2024-09-13,21133400700242409131059,370,ORG EVERYTHG,CHOP SALAD KIT 2PK,ORG EVERYTHG CHOP SALAD KIT 2PK,8.99
2024-09-29,21133400600602409291146,384962,KS U/S QTRS,TE9X5 SL90,KS U/S QTRS TE9X5 SL90,14.99
2024-09-29,21133400600602409291146,4102,"8"" TORTILLAS",SL10  70OZ,"8"" TORTILLAS SL10  70OZ",5.99
2024-09-29,21133400600602409291146,38742,SWEET CORN,8 PACK,SWEET CORN 8 PACK,6.99
2024-09-29,21133400600602409291146,1199652,BUTER CROISS,,,5.99
2024-09-29,21133400600602409291146,1364689,KS ORG WH MK,3/64 SL30 T33H4 P132,KS ORG WH MK 3/64 SL30 T33H4 P132,10.47
2024-09-29,21133400600602409291146,1775302,KS PARM SSG,9/48Z T8H8 SL40 PEPP/PARM,KS PARM SSG 9/48Z T8H8 SL40 PEPP/PARM,11.99
2024-09-29,21133400600602409291146,947880,HF NAT TRKEY,T6H4P216  SL30,HF NAT TRKEY T6H4P216  SL30,11.99
2024-09-29,21133400600602409291146,337386,/947880,,,0
2024-09-29,21133400600602409291146,1863506,AUTUMN BLEND,P400 SL300,AUTUMN BLEND P400 SL300,9.99
2024-09-29,21133400600602409291146,27003,STRAWBERRIES,908 G / 2 LB,STRAWBERRIES 908 G / 2 LB,5.79
2024-09-29,21133400600602409291146,60357,MIXED PEPPER,6-PACK,MIXED PEPPER 6-PACK,6.59
2024-09-29,21133400600602409291146,6659,4LB HONYCRSP,,,8.99
2024-09-29,21133400600602409291146,96716,ORG SPINACH,453 G / 16 OZ,ORG SPINACH 453 G / 16 OZ,4.49
2024-09-29,21133400600602409291146,720650,MINI CUKES,680 G / 1.5 LB,MINI CUKES 680 G / 1.5 LB,6.79
2024-09-29,21133400600602409291146,47266,ORG BS THIGH,FRESH SADDLEPACK,ORG BS THIGH FRESH SADDLEPACK,5.99
2024-09-29,21133400600602409291146,2619,ORG BANANAS,3 LB / 1.36 KG,ORG BANANAS 3 LB / 1.36 KG,2.19
2024-09-29,21133400600602409291146,647465,AVOCADOS,6 COUNT,AVOCADOS 6 COUNT,8.99
2024-09-29,21133400600602409291146,3013,NECTARINE,1.81 KG / 4 LB,NECTARINE 1.81 KG / 4 LB,9.99
2024-09-29,21133400600602409291146,8258,ASIAN CASHEW,2PK,ASIAN CASHEW 2PK,6.99
2024-09-29,21133400600602409291146,21046,TOMATO MEDLE,,,6.59
2024-09-29,21133400600602409291146,1858206,PIMENTO CRKR,2/8OZ P245 C35 P35X7,PIMENTO CRKR 2/8OZ P245 C35 P35X7,8.99
2024-09-29,21133400600602409291146,1011378,CHICK PEAS,P240 .,CHICK PEAS P240 .,7.99
2024-09-29,21133400600602409291146,1391546,BAGEL CHIPS,SCHWARTZ 425G P324 SL90,BAGEL CHIPS SCHWARTZ 425G P324 SL90,7.99
2025-06-12,21133420201072506121555,1023251,DRZZPOPCORN,POPCORN 17OZ P180 S270,DRZZPOPCORN POPCORN 17OZ P180 S270,6.99
2025-06-12,21133420201072506121555,833684,KS TORT CHIP,P96 T32H3   SL120,KS TORT CHIP P96 T32H3   SL120,6.39
2025-06-12,21133420201072506121555,1524407,WAGYU BEEF,1/3 LB WAGYU,WAGYU BEEF 1/3 LB WAGYU,25.49
2025-06-12,21133420201072506121555,1883197,LEGO SUNNY,10347 FY25 P270,LEGO SUNNY 10347 FY25 P270,21.99
2025-06-12,21133420201072506121555,1146505,HEARTY ROLL,WHTE BUN 12CT / 30 OZ,HEARTY ROLL WHTE BUN 12CT / 30 OZ,4.59
2025-06-12,21133420201072506121555,355855,/1146505,,,0
2025-06-12,21133420201072506121555,407600,SPIN PARM DP,PARM  T7H8  SL32,SPIN PARM DP PARM  T7H8  SL32,9.69
2025-06-12,21133420201072506121555,1232616,TURKEY BURGR,10/5.3OZ (3.3 LBS) T8X5,TURKEY BURGR 10/5.3OZ (3.3 LBS) T8X5,9.99
2025-06-12,21133420201072506121555,868210,HAM ROLLS,36OZ 16CT  SL9,HAM ROLLS 36OZ 16CT  SL9,3.79
2025-05-19,21133400202202505191324,1011378,CHICK PEAS,P240 SL1095,CHICK PEAS P240 SL1095,7.99
2025-05-19,21133400202202505191324,1199652,BUTER CROISS,,,5.99
2025-05-19,21133400202202505191324,7812,YELLOW ONION,5 LBS,YELLOW ONION 5 LBS,3.99
2025-05-19,21133400202202505191324,21046,TOMATO MEDLE,,,6.59
2025-05-19,21133400202202505191324,61576,SWEET POTATO,5 LBS,SWEET POTATO 5 LBS,4.89
2025-05-19,21133400202202505191324,43565,WHOLE DUCK,MAPLE LEAF 9X5,WHOLE DUCK MAPLE LEAF 9X5,3.79
2025-05-19,21133400202202505191324,720650,MINI CUKES,680 G / 1.5 LB,MINI CUKES 680 G / 1.5 LB,5.99
2025-05-19,21133400202202505191324,355155,/720650,,,0
2025-05-19,21133400202202505191324,947880,HF NAT TRKEY,T6H4P216  SL30,HF NAT TRKEY T6H4P216  SL30,12.89
2025-05-19,21133400202202505191324,6659,4LB HONYCRSP,,,11.99
2025-05-19,21133400202202505191324,647465,AVOCADOS,6 COUNT,AVOCADOS 6 COUNT,9.59
2025-05-19,21133400202202505191324,1462714,KS ORG A2 PR,3/64OZ SL30 33X4 P132,KS ORG A2 PR 3/64OZ SL30 33X4 P132,10.79
2025-05-19,21133400202202505191324,47825,GREEN GRAPES,1.36 KG / 3 LB,GREEN GRAPES 1.36 KG / 3 LB,7.99
2025-05-19,21133400202202505191324,5623,BROCCOLI,1.36 KG / 3 LB,BROCCOLI 1.36 KG / 3 LB,5.39
2025-05-19,21133400202202505191324,384732,KS PURE SALT,850G,KS PURE SALT 850G,3.39
2025-05-19,21133400202202505191324,121288,ORG BELLAS,,,5.99
2025-05-19,21133400202202505191324,56366,RASPBERRIES,340 G / 12 OZ,RASPBERRIES 340 G / 12 OZ,5.49
2025-05-19,21133400202202505191324,7552,WILD ALBACOR,SL360           P528,WILD ALBACOR SL360           P528,15.99
2024-02-18,21133400402022402181504,4102,"8"" TORTILLAS",SL10  70OZ,"8"" TORTILLAS SL10  70OZ",5.99
2024-02-18,21133400402022402181504,384962,KS U/S QTRS,TE9X5 SL90,KS U/S QTRS TE9X5 SL90,12.99
2024-02-18,21133400402022402181504,2619,ORG BANANAS,3 LB / 1.36 KG,ORG BANANAS 3 LB / 1.36 KG,2.19
2024-02-18,21133400402022402181504,647465,AVOCADOS,6 COUNT,AVOCADOS 6 COUNT,6.49
2024-02-18,21133400402022402181504,1364689,KS ORG WH MK,3/64 SL30 T33H4 P132,KS ORG WH MK 3/64 SL30 T33H4 P132,11.99
2024-02-18,21133400402022402181504,48600,TURKEY,1.75 RW    T10H4    SL50,TURKEY 1.75 RW    T10H4    SL50,7.99
2024-02-18,21133400402022402181504,1300591,CANDY DREAMS,1.36 KG / 3 LB,CANDY DREAMS 1.36 KG / 3 LB,7.99
2024-02-18,21133400402022402181504,568915,ORG CUCUMBER,,,5.99
2024-02-18,21133400402022402181504,1199652,BUTER CROISS,,,5.99
2024-02-18,21133400402022402181504,1150189,ORG SKINYPOP,T34H3 P102 SL110,ORG SKINYPOP T34H3 P102 SL110,6.99
2024-02-18,21133400402022402181504,323274,/1150189,,,0
2024-02-18,21133400402022402181504,331100,POTATOES,2.27 KG / 5 LB,POTATOES 2.27 KG / 5 LB,8.29
2024-02-18,21133400402022402181504,1172471,IRISH BUTTER,C15 T9H5 P675  SL90,IRISH BUTTER C15 T9H5 P675  SL90,14.49
2024-02-18,21133400402022402181504,87745,ROTISSERIE,USDA GRADE A,ROTISSERIE USDA GRADE A,4.99
2024-02-18,21133400402022402181504,21046,TOMATO MEDLE,,,6.59
2024-02-18,21133400402022402181504,6659,4LB HONYCRSP,,,6.99
2024-02-18,21133400402022402181504,38947,FLOUNDER FLT,FILLET,FLOUNDER FLT FILLET,9.99
2024-02-18,21133400402022402181504,1674525,BANH MI,T10H8   SL 120,BANH MI T10H8   SL 120,9.99
2024-02-18,21133400402022402181504,60357,MIXED PEPPER,6-PACK,MIXED PEPPER 6-PACK,7.49
2024-02-18,21133400402022402181504,8370,ORG MEDITERR,2PK,ORG MEDITERR 2PK,8.99
2024-02-18,21133400402022402181504,1645476,POMPEIAN EVO,EVOO 2L T80H4 SL435,POMPEIAN EVO EVOO 2L T80H4 SL435,18.99
2024-02-18,21133400402022402181504,5623,BROCCOLI,1.36 KG / 3 LB,BROCCOLI 1.36 KG / 3 LB,4.89
2022-07-20,21133420300162207201048,1290439,KS NUTBUTTER,765G T10H6 P720,KS NUTBUTTER 765G T10H6 P720,6.99
2022-07-20,21133420300162207201048,735087,PINE BACON,12/3 LBS   9T5H   SL90,PINE BACON 12/3 LBS   9T5H   SL90,14.99
2022-07-20,21133420300162207201048,1636598,**CHARMIN**,30/205 SHEET,**CHARMIN** 30/205 SHEET,24.99
